,Issue_Time,Color,Make,Route,Fine_Amount,Binned
804777,2228.0,GY,FORD,00309,68.0,4
534074,402.0,BG,LEXS,504A,25.0,1
5923407,1120.0,SL,DODG,00903,68.0,4
3749768,914.0,BK,TOYT,00483,58.0,3
1798538,1906.0,WT,CHEV,00681,58.0,3
4512887,743.0,BK,VOLK,00548,93.0,6
731699,1500.0,BK,HYUN,906R,58.0,3
2260283,807.0,BL,TOYT,00400,63.0,4
2668249,708.0,WT,CHEV,00401,93.0,6
5896188,1150.0,BK,MERZ,00456,63.0,4
2831715,1121.0,BL,BMW,00330,63.0,4
6272100,1202.0,GY,BMW,00474,25.0,1
1020744,1141.0,BK,INFI,00154,68.0,4
994334,2147.0,SL,NISS,108R,68.0,4
2364923,820.0,BG,KIA,00551,73.0,5
2708845,823.0,GY,NISS,00484,63.0,4
2641505,1430.0,SL,FORD,00485,58.0,3
510976,1212.0,BK,MERZ,00142,73.0,5
5380266,237.0,BK,DODG,00315,68.0,4
3362222,1209.0,GY,DODG,00500,93.0,6
4336875,1550.0,RD,KIA,00545,58.0,3
4203773,849.0,RD,NISS,00645,73.0,5
4228654,1021.0,SL,NISS,00185,73.0,5
4762236,1805.0,SL,FORD,00201,68.0,4
557516,1341.0,SL,HOND,905R,63.0,4
4418584,749.0,GN,GMC,00600,93.0,6
2047456,1522.0,GY,FORD,00495,63.0,4
1608251,1000.0,WT,OTHR,00666,93.0,6
447359,1603.0,BK,TOYT,00600,63.0,4
2736121,228.0,OR,FORD,00315,78.0,5
2458656,1415.0,BL,CHRY,00562,25.0,1
576512,1158.0,GY,MERZ,00673,25.0,1
53179,1009.0,GY,MERZ,00336,25.0,1
2318544,1423.0,BG,LNDR,00153,63.0,4
4444844,1021.0,GN,TOYT,00500,73.0,5
2807150,1010.0,GY,HOND,00185,73.0,5
5363202,1635.0,GY,LEXS,5M21,50.0,2
2317001,2124.0,GY,CHRY,00403,93.0,6
3589742,1234.0,BK,HOND,00335,73.0,5
6120333,1946.0,GY,HOND,00309,63.0,4
5008781,301.0,SL,BMW,402B,93.0,6
2973965,2008.0,GY,HOND,00401,68.0,4
3232630,1224.0,GY,TOYT,00408,63.0,4
1954251,1042.0,GY,TOYT,340R,68.0,4
3404051,1004.0,BL,HOND,00144,73.0,5
6509488,1232.0,BL,MERZ,00661,63.0,4
1288139,1222.0,BK,NISS,00483,63.0,4
51660,1005.0,GY,NISS,00162,73.0,5
5751296,1207.0,BK,MERZ,00421,73.0,5
1610881,1847.0,WT,CHEV,00111,93.0,6
3242385,825.0,SL,PORS,158R1,73.0,5
4689784,833.0,BK,KIA,539BH,68.0,4
771790,1932.0,SL,TOYT,00600,25.0,1
4998979,1009.0,BK,HOND,00132,73.0,5
1223194,439.0,WT,FORD,00310,93.0,6
6592492,1332.0,BN,FRHT,00600,93.0,6
684804,1624.0,BK,MERZ,00495,63.0,4
1669812,624.0,WT,HOND,00611,58.0,3
2836693,1034.0,WT,GMC,00601,25.0,1
4150788,1704.0,YE,GMC,00903,63.0,4
1372623,1703.0,WT,CHRY,00500,58.0,3
1663206,1426.0,BN,GRUM,00653,63.0,4
1875718,829.0,BK,INFI,00473,63.0,4
4621681,1246.0,WT,TOYT,00300,25.0,1
3336553,1022.0,WT,NISS,00395,73.0,5
6072261,1109.0,GY,AUDI,00382,63.0,4
2703120,1018.0,BL,DODG,00636,73.0,5
5333681,2259.0,RD,CHEV,00600,93.0,6
6391510,941.0,SL,TOYT,00472,25.0,1
524329,229.0,GY,ACUR,504B,25.0,1
2585258,823.0,BL,FORD,00460,73.0,5
232853,1751.0,BK,LEXS,00404,63.0,4
6113869,1900.0,BK,JAGU,401A,68.0,4
3430520,1413.0,GY,FORD,00484,68.0,4
4305558,1855.0,BL,CHEV,00400,68.0,4
1106496,1716.0,BK,NISS,00602,63.0,4
5568910,906.0,BK,INFI,00544,73.0,5
6593763,1111.0,WT,INFI,00104,73.0,5
5150495,1953.0,BK,CHEV,00500,68.0,4
1322370,1018.0,SL,CHEV,549A,73.0,5
515019,1023.0,WT,KIA,00474,58.0,3
6222431,1225.0,WT,ACUR,00554,25.0,1
3603958,1228.0,SL,TOYT,00356,58.0,3
2129556,2052.0,PR,JEEP,00403,68.0,4
4846865,938.0,WT,BMW,00366,73.0,5
6654916,1928.0,WT,TOYT,00403,93.0,6
6439041,1114.0,WT,MERZ,00485,25.0,1
3232462,835.0,WT,FORD,00144,73.0,5
6093716,1711.0,SL,TOYT,00472,63.0,4
3669584,2115.0,SL,TOYT,00600,68.0,4
4318276,1303.0,UN,TOYT,389R,73.0,5
6315729,101.0,GY,FORD,00401,68.0,4
2155068,1214.0,BK,TOYT,00908,68.0,4
902915,705.0,BL,PONT,00317,73.0,5
6304972,1723.0,WT,CHEV,00907,93.0,6
1016219,1242.0,GY,KIA,00111,63.0,4
6337964,1256.0,BK,AUDI,00600,58.0,3
4943961,1216.0,WT,TOYT,00401,63.0,4
139519,1024.0,SL,DODG,00171,73.0,5
2787825,135.0,WT,TOYT,506A,68.0,4
2134639,1102.0,WT,FORD,00475,68.0,4
6180561,239.0,SL,HOND,00403,93.0,6
6514207,737.0,WT,CHEV,502A,73.0,5
549059,1114.0,SL,TOYT,389R,73.0,5
6552388,1329.0,GN,PONT,00500,73.0,5
406791,1652.0,BK,MAZD,00201,163.0,7
4964093,1317.0,GY,VOLV,00164,68.0,4
2033974,1219.0,RD,NISS,00399,68.0,4
4522220,1220.0,MR,CHRY,00141,73.0,5
4987176,821.0,BK,TOYT,00158,73.0,5
5051900,1222.0,RD,MAZD,00139,73.0,5
5396852,1620.0,GY,TOYT,00472,163.0,7
5162705,1051.0,SL,NISS,00657,63.0,4
270943,1507.0,WT,TOYT,00643,93.0,6
2677652,1825.0,GY,MERZ,00315,63.0,4
1439936,1925.0,BK,TOYT,00111,63.0,4
3888473,858.0,BK,LEXS,00486,73.0,5
2145495,133.0,WT,GMC,00111,133.0,7
4129394,603.0,OR,FIAT,00600,93.0,6
119252,1211.0,BK,NISS,00664,25.0,1
1566252,1703.0,GY,VOLK,00500,63.0,4
1154741,2009.0,SL,SAA,00402,73.0,5
923728,1217.0,RD,TOYT,00672,73.0,5
1327590,400.0,BR,FORD,00733,50.0,2
5777041,1808.0,WT,CHEV,00400,25.0,1
4181838,904.0,BK,TOYT,539AH,73.0,5
2345208,1351.0,BK,TOYT,00642,93.0,6
1630226,1027.0,GY,TOYT,465,58.0,3
837398,1607.0,GY,GMC,103R,163.0,7
2984884,858.0,GY,TOYT,00601,93.0,6
6048137,2235.0,WT,TOYT,402A,68.0,4
4433557,1230.0,SL,TOYT,00358,68.0,4
585952,1849.0,GN,FORD,00201,68.0,4
2047255,1900.0,GO,TOYT,00471,68.0,4
3376300,1222.0,WT,DODG,00484,73.0,5
3053165,1041.0,BL,DODG,00665,68.0,4
3453875,807.0,WT,TOYT,00553,73.0,5
4295479,826.0,BK,INFI,00356,73.0,5
2778472,106.0,GY,TOYT,401B,25.0,1
2491146,1402.0,WT,VOLV,00183,73.0,5
4292323,1045.0,GY,NISS,00555,73.0,5
4905923,907.0,GY,TOYT,538C,68.0,4
6650966,1207.0,WT,OTHR,00642,93.0,6
6100230,235.0,RD,HOND,401A,73.0,5
5780425,1538.0,WT,HOND,00161,93.0,6
2232911,547.0,WT,OTHR,00601,93.0,6
1791345,1621.0,GY,TOYT,00500,93.0,6
3189860,1823.0,BK,CHEV,00401,68.0,4
2217379,1647.0,GN,FIAT,00111,63.0,4
1429225,920.0,BK,CHRY,00681,25.0,1
1032220,1742.0,GY,MERZ,111,63.0,4
1755064,1427.0,BL,VOLK,00474,58.0,3
5384834,2002.0,WT,FORD,00319,78.0,5
2857624,1019.0,WT,NISS,350R1,73.0,5
1593727,1621.0,BN,OTHR,600,93.0,6
5698315,1208.0,BL,JEEP,401A,63.0,4
2037725,1151.0,BK,MERZ,108R,68.0,4
3928739,1334.0,BK,KIA,00601,68.0,4
5136617,1115.0,GO,TOYT,00644,73.0,5
1980097,1208.0,BK,CHEV,00111,63.0,4
621194,1808.0,SL,HOND,00315,68.0,4
2485026,1113.0,RD,FORD,00356,63.0,4
5723057,2128.0,WT,TOYT,00203,363.0,8
1441978,2127.0,BG,MITS,00500,93.0,6
4909655,1623.0,WT,DODG,00600,63.0,4
4620054,816.0,MR,FORD,00674,73.0,5
6431543,207.0,YE,JEEP,00310,25.0,1
4372587,1331.0,SL,BMW,00904,25.0,1
4484990,1641.0,SL,TOYT,00464,93.0,6
4578564,930.0,GY,TOYT,00651,63.0,4
2208613,1248.0,WT,TOYT,00499,93.0,6
5708267,1252.0,WT,INFI,00483,63.0,4
1914592,1827.0,BK,NISS,00403,68.0,4
49103,805.0,BL,JEEP,00475,73.0,5
531515,1158.0,BK,INFI,00684,58.0,3
4301501,115.0,BK,HOND,3A104,68.0,4
1527536,1531.0,BK,DODG,00476,25.0,1
1845329,910.0,BK,SUZI,00371,73.0,5
2457186,1249.0,WT,MERZ,378R1,63.0,4
1991521,1359.0,TN,NISS,00461,63.0,4
4345241,1236.0,GY,HOND,00157,73.0,5
2246938,2209.0,WT,TOYT,00605,58.0,3
3456617,1323.0,RD,HOND,00491,73.0,5
876733,1233.0,WT,FORD,00474,103.0,7
4872513,1129.0,BK,TOYT,00495,73.0,5
3279557,1019.0,BK,NISS,00405,63.0,4
4574768,1439.0,BK,INFI,00455,63.0,4
6441625,811.0,WT,TOYT,00363,93.0,6
1403605,1623.0,SL,ACUR,00903,63.0,4
3896790,1045.0,BL,HOND,00556,73.0,5
1256140,54.0,BK,MERZ,00300,93.0,6
1982708,1851.0,GY,FORD,00310,68.0,4
1980500,1232.0,SL,TOYT,00461,73.0,5
2611985,1234.0,WT,FRHT,00500,73.0,5
4271617,1021.0,BG,LEXS,00371,73.0,5
5512096,551.0,OR,DODG,00500,93.0,6
3994122,1013.0,GO,FORD,00644,73.0,5
4486170,1728.0,SL,TOYT,350R1,73.0,5
1799273,1356.0,WT,KIA,00186,63.0,4
725349,222.0,OT,FORD,506B,73.0,5
2394383,707.0,BK,FORD,00135,68.0,4
1028140,143.0,BK,TOYT,00500,68.0,4
2640124,1113.0,WH,HYUN,2C207,63.0,4
3210136,1125.0,GY,TOYT,00485,25.0,1
1096989,1218.0,RD,CHEV,00366,73.0,5
4276610,757.0,BK,FORD,00401,93.0,6
6052817,2058.0,SL,DODG,00401,68.0,4
1155211,301.0,RD,TOYT,00310,25.0,1
5669218,1022.0,BK,BMW,00154,73.0,5
806098,828.0,BK,MNNI,00356,73.0,5
4753943,1407.0,BL,HOND,00482,68.0,4
4432702,1217.0,WT,MERZ,00144,73.0,5
4907980,1134.0,WT,TOYT,00453,73.0,5
441489,1140.0,GY,VOLV,00186,73.0,5
2430636,1934.0,WT,MERZ,00402,63.0,4
4149672,1016.0,GY,FORD,00555,93.0,6
2719107,1235.0,OR,BMW,00143,73.0,5
7052,1051.0,GN,DODG,531S,73.0,5
3055394,302.0,BK,HOND,00309,68.0,4
5858030,806.0,WT,NISS,00472,63.0,4
3387506,1130.0,WT,ACUR,00176,68.0,4
6432366,140.0,GY,DODG,00500,93.0,6
178863,820.0,BK,ACUR,00131,73.0,5
2625476,857.0,GY,TOYT,00471,73.0,5
6596785,744.0,BL,TOYT,00155,58.0,3
6594859,149.0,WH,INFI,00500,93.0,6
3401245,1145.0,BK,AUDI,00901,25.0,1
608765,1025.0,WT,TOYT,00631,73.0,5
694839,1247.0,BK,JEEP,00147,73.0,5
6367453,1323.0,BN,OTHR,00643,63.0,4
442631,132.0,BN,CHEV,503A,93.0,6
5696010,1213.0,BL,CHEV,00674,73.0,5
5768046,1056.0,OR,NISS,161R,73.0,5
1126575,1158.0,BK,BMW,00902,63.0,4
5119524,1510.0,SL,FORD,00671,63.0,4
4022065,528.0,BK,INFI,00317,25.0,1
6691126,151.0,BL,HYUN,00600,58.0,3
926775,1035.0,OR,SMAR,00461,73.0,5
5043333,1123.0,BN,FRHT,00681,93.0,6
1677428,1211.0,TN,HOND,00132,73.0,5
4998961,918.0,WT,BMW,00132,73.0,5
6339620,1138.0,GN,TOYT,00477,73.0,5
3315283,1250.0,BK,KIA,00141,73.0,5
4491646,1235.0,BK,VOLK,00451,63.0,4
2802584,1107.0,GY,CHEV,00443,73.0,5
4834626,233.0,WT,CHEV,506A,68.0,4
980232,1732.0,TN,LINC,00660,163.0,7
4527107,1400.0,WT,OTHR,00600,93.0,6
1247135,914.0,WT,VOLK,00131,73.0,5
6352598,1338.0,BN,OTHR,00677,93.0,6
914001,1351.0,SL,TOYT,00111,25.0,1
3021313,912.0,BK,LNDR,00144,73.0,5
94521,1803.0,GY,HOND,00101,93.0,6
2210684,1142.0,BL,DODG,00664,93.0,6
4521027,1205.0,RD,HOND,00409,63.0,4
2472182,828.0,BK,HOND,00361,73.0,5
5324554,1101.0,BK,TOYT,00677,93.0,6
5528362,1440.0,TA,TIOG,5L60,50.0,2
187804,1921.0,BL,BMW,00401,68.0,4
5947005,916.0,RD,KIA,00600,63.0,4
3114995,927.0,WT,OTHR,00684,93.0,6
2577248,1027.0,WT,TOYT,00334,73.0,5
5944048,1050.0,WT,VOLK,00462,68.0,4
3563346,1008.0,GY,FORD,00633,73.0,5
5468782,1541.0,BK,JEEP,312W,25.0,1
2353904,1030.0,WT,LNDR,00353,73.0,5
3802616,1215.0,WH,TOYO,00535,73.0,5
402589,1356.0,BK,CADI,00483,63.0,4
1148287,1608.0,WT,CHEV,00300,163.0,7
1042834,251.0,WH,HOND,00604,73.0,5
5317815,1024.0,GN,MNNI,00636,73.0,5
333094,1403.0,WT,CHEV,00204,93.0,6
1642608,1903.0,SL,CHEV,111,68.0,4
3986939,922.0,BK,LNDR,00474,63.0,4
3876162,1716.0,WT,LEXS,00483,63.0,4
3758547,1020.0,BK,LEXS,00365,73.0,5
2198800,1112.0,GY,AUDI,00111,63.0,4
4501996,831.0,BL,HYUN,00421,63.0,4
6333832,1152.0,BK,FORD,00491,68.0,4
1971108,2230.0,RD,TOYT,00111,93.0,6
3925388,2118.0,WT,HOND,00402,73.0,5
3776095,900.0,WT,FORD,00356,63.0,4
3562739,1127.0,BK,HOND,00144,63.0,4
1037451,1120.0,GY,VOLK,00464,73.0,5
5820204,1433.0,BL,KIA,00491,68.0,4
3466605,1359.0,WT,MERZ,00491,63.0,4
4482102,41.0,SL,MERZ,504A,68.0,4
223741,1411.0,GY,MERZ,00681,93.0,6
1747774,1318.0,GY,TOYT,00132,73.0,5
886062,1644.0,SL,TOYT,309R,163.0,7
5930897,2146.0,GY,TOYT,402A,68.0,4
2156048,818.0,GN,CHEV,689R1,93.0,6
4485446,811.0,GY,MAZD,00335,73.0,5
4425233,1227.0,SL,TOYT,00142,73.0,5
5583294,1325.0,BK,FORD,00552,73.0,5
2206516,1013.0,SL,DODG,00132,73.0,5
5924996,853.0,WT,BMW,00374,73.0,5
674389,1008.0,BK,HOND,00353,73.0,5
6617641,350.0,WT,MERZ,00401,68.0,4
1825068,1904.0,RD,NISS,00402,68.0,4
4675190,946.0,BK,CHRY,00341,73.0,5
1959217,1849.0,GY,TOYT,00601,25.0,1
4124275,1945.0,BK,MERZ,202A,63.0,4
5101287,817.0,OR,FORD,00151,73.0,5
1668815,1810.0,MR,ISU,00402,68.0,4
252415,1019.0,SL,HOND,00774,73.0,5
3441062,1705.0,GY,BUIC,00108,63.0,4
2701392,1011.0,GN,NISS,00337,73.0,5
4059007,1707.0,BL,GMC,00612,25.0,1
3083543,2002.0,BK,LNDR,00309,68.0,4
6207284,1413.0,GY,MAZD,636,25.0,1
1031018,1752.0,WT,BUIC,107,58.0,3
6254690,1825.0,WT,TOYT,403A,68.0,4
1941098,1208.0,BL,HOND,00145,73.0,5
926072,1027.0,WT,FRHT,00667,93.0,6
1387336,824.0,WT,MERZ,158R2,68.0,4
201002,2244.0,BK,CHRY,00600,68.0,4
2602879,2209.0,BK,TOYT,00401,68.0,4
2966392,1039.0,RD,LEXS,00662,63.0,4
3424480,1226.0,SL,HOND,00665,63.0,4
342156,2024.0,SL,LEXS,00662,93.0,6
6509910,808.0,BK,INFI,00315,73.0,5
3282401,1010.0,BL,CHEV,00445,73.0,5
3023707,1308.0,BK,FORD,00161,73.0,5
761939,1934.0,BL,HOND,00330,63.0,4
895314,1609.0,BK,FORD,00445,63.0,4
1053141,1009.0,BL,SUBA,00133,73.0,5
948883,1827.0,GY,HOND,00631,63.0,4
3322401,51.0,WT,TOYT,00611,73.0,5
4470701,1235.0,GY,VOLK,00472,73.0,5
4995835,1207.0,RD,INTL,00600,68.0,4
3970894,648.0,SL,TOYT,00601,58.0,3
4267583,1826.0,PK,OTHR,00302,68.0,4
3875382,1905.0,BK,HOND,00302,63.0,4
5974151,1226.0,BL,FORD,00671,73.0,5
3414422,643.0,GN,OTHR,00310,25.0,1
5122750,1137.0,WT,MERZ,00441,25.0,1
2837128,1431.0,GY,TOYT,00107,58.0,3
6050553,1029.0,BK,HYUN,360R2,93.0,6
4665639,1358.0,BK,BMW,00494,73.0,5
4606568,922.0,WT,BMW,00672,73.0,5
5205914,1014.0,BK,UNK,534H,25.0,1
2043227,1712.0,WT,FORD,00107,58.0,3
210009,1323.0,WT,NISS,00681,58.0,3
4036852,1415.0,WT,HOND,00672,58.0,3
3734954,816.0,GY,TOYT,00471,73.0,5
6327319,115.0,GY,AUDI,503B,73.0,5
4264412,1227.0,WT,AUDI,00314,63.0,4
4493976,1155.0,SL,DODG,00109,63.0,4
6393587,1231.0,GY,MAZD,00600,63.0,4
2171729,1054.0,GY,HYUN,00531,73.0,5
851896,1302.0,WT,NISS,00665,93.0,6
1742631,1322.0,SL,INFI,00473,68.0,4
6564592,1310.0,WT,NISS,00675,58.0,3
4068571,1341.0,SL,KIA,00355,73.0,5
262941,1520.0,WH,VOLK,21A1,50.0,2
6248950,1355.0,MR,BMW,00532,25.0,1
5268997,1332.0,SL,TOYT,00112,58.0,3
2205012,1039.0,TN,TOYT,138R1,73.0,5
3571597,739.0,GY,TOYT,539BH,73.0,5
5399076,841.0,GN,TOYT,00159,73.0,5
608485,1221.0,BL,BMW,00500,73.0,5
5490790,1513.0,WT,CHEV,00665,93.0,6
2990981,821.0,WT,KIA,00600,63.0,4
118365,1542.0,BN,GRUM,00653,93.0,6
107264,1153.0,WT,TOYT,00475,63.0,4
5808213,1756.0,WT,FIAT,00600,25.0,1
5804290,908.0,BK,DODG,00372,73.0,5
6599175,1106.0,BL,MITS,00357,73.0,5
1216540,1505.0,GO,TOYT,651B,93.0,6
2733383,1857.0,GY,MASE,00301,25.0,1
4415671,830.0,GY,FORD,00142,73.0,5
2694576,808.0,BK,DODG,138R1,73.0,5
1291798,1936.0,BL,LINC,00315,63.0,4
1822288,104.0,GY,HOND,00400,73.0,5
5293667,1418.0,BL,NISS,00401,58.0,3
4577408,1228.0,SL,TOYT,00488,73.0,5
2103711,102.0,WT,HOND,00300,73.0,5
2357734,1230.0,RD,MAZD,00471,68.0,4
2762487,121.0,WT,TOYT,00401,68.0,4
1897827,1452.0,RD,HOND,00491,25.0,1
6503727,1213.0,BK,BMW,00351,73.0,5
3044726,1156.0,BL,VOLV,00905,68.0,4
6299314,1944.0,SL,PORS,00201,68.0,4
2538768,1503.0,BK,NISS,00177,58.0,3
2910428,1015.0,OR,HYUN,146R1,73.0,5
1328623,1655.0,SL,TOYT,00107,63.0,4
1712569,1959.0,GY,TOYT,00600,93.0,6
5554261,1252.0,BN,HYUN,00492,73.0,5
3111767,2049.0,WT,MAZD,00402,68.0,4
2147969,1246.0,SL,TOYT,00643,73.0,5
892615,1015.0,SL,HYUN,00365,73.0,5
4320267,1143.0,GY,FORD,00107,63.0,4
5826616,1028.0,BK,DODG,00445,73.0,5
4268841,905.0,WT,SUBA,00143,73.0,5
1656402,1319.0,SL,LINC,00463,58.0,3
5464478,39.0,GO,TOYT,402B,93.0,6
4148593,1316.0,BK,VOLV,00456,73.0,5
791643,1913.0,GN,TOYT,00500,93.0,6
691434,1236.0,GY,NISS,00454,73.0,5
3353848,1133.0,BK,NISS,00182,58.0,3
5132634,1716.0,BK,STRN,00600,25.0,1
2120020,1316.0,SL,BMW,00472,73.0,5
638652,705.0,BK,CHEV,00636,93.0,6
6376132,1048.0,WT,JEEP,350R2,73.0,5
4382532,255.0,BL,CHEV,00500,93.0,6
243774,1439.0,WT,TOYT,00201,68.0,4
4700439,1924.0,RD,MAZD,403B,93.0,6
5480727,1432.0,BL,BMW,00382,63.0,4
5003866,657.0,BK,VOLK,00500,68.0,4
2655158,201.0,SL,HOND,00666,68.0,4
1439435,806.0,BK,NISS,00153,73.0,5
2180798,719.0,GY,TOYT,00402,93.0,6
2322299,815.0,BL,HOND,00400,73.0,5
2530870,1013.0,GY,BMW,00365,73.0,5
2689174,834.0,BK,HOND,00676,73.0,5
5744485,2031.0,GY,AUDI,00400,68.0,4
5322233,1353.0,WT,TOYT,00611,63.0,4
2149549,824.0,WT,INFI,00151,73.0,5
1403991,714.0,WT,NISS,00472,93.0,6
356046,1005.0,WT,HYUN,00145,73.0,5
4211534,1114.0,SL,CADI,6T7,63.0,4
626538,956.0,BL,FORD,340R,73.0,5
6224281,1133.0,BK,HOND,369B,63.0,4
6247347,1103.0,RD,LEXS,00600,58.0,3
997988,1548.0,BK,CHEV,677R1,63.0,4
121524,1214.0,GY,HOND,689R1,25.0,1
2885071,921.0,WT,TOYT,00185,58.0,3
222733,717.0,WT,BMW,00444,93.0,6
6613595,838.0,BL,HOND,00600,63.0,4
4041540,1036.0,RD,TOYT,00641,63.0,4
842332,1306.0,WT,NISS,00495,58.0,3
5326297,1020.0,BK,BMW,00356,73.0,5
5063108,850.0,GN,ACUR,00600,73.0,5
2221711,2014.0,RD,LEXS,00403,58.0,3
1179958,1230.0,GN,MITS,00382,58.0,3
3270008,1547.0,WT,CHEV,00651,63.0,4
4410599,1757.0,WT,INFI,00548,93.0,6
911500,1437.0,SL,DODG,662,63.0,4
5440006,1633.0,BK,TOYT,00610,63.0,4
3242366,1103.0,OT,SUBA,00408,25.0,1
1989844,1329.0,MR,CHEV,00442,25.0,1
6157307,821.0,BK,HOND,00334,73.0,5
2501184,1406.0,WT,FORD,00500,93.0,6
5225183,609.0,MA,MITS,00500,93.0,6
853293,630.0,BK,TOYT,534H,93.0,6
2067905,1659.0,RD,NISS,00317,93.0,6
1153803,1654.0,GY,LINC,00111,63.0,4
3537208,851.0,RD,KIA,00451,63.0,4
5672299,1228.0,BL,MAZD,00471,25.0,1
3941423,1204.0,GY,FORD,00334,73.0,5
792020,1451.0,BL,BMW,00400,63.0,4
840026,1240.0,MR,CHEV,00642,25.0,1
4170887,1700.0,WT,KIA,00315,63.0,4
3587507,1435.0,WT,TOYT,6T8,68.0,4
3766390,707.0,BK,GMC,00504,93.0,6
3906824,1349.0,BK,MERZ,138R1,73.0,5
4524547,1028.0,GY,MERZ,00334,73.0,5
4452412,536.0,UN,FORD,00600,93.0,6
5049967,510.0,BK,HOND,00600,93.0,6
3729066,1005.0,WT,FORD,00441,73.0,5
571437,1350.0,GY,TOYO,00672,93.0,6
6701263,1039.0,BK,JEEP,00543,73.0,5
3431668,341.0,SL,MERZ,00402,93.0,6
2713763,810.0,BK,FORD,00455,93.0,6
4051361,1014.0,RD,FORD,00152,73.0,5
6615815,946.0,GY,BUIC,111R,63.0,4
5543205,37.0,GY,ACUR,402B,68.0,4
6048300,838.0,GN,HOND,00476,73.0,5
5414812,827.0,SL,TOYT,00610,63.0,4
6501341,1124.0,WT,TOYT,00133,73.0,5
453820,902.0,BK,HOND,00377,73.0,5
3491034,647.0,RD,FORD,00500,25.0,1
2980419,1815.0,SL,CHEV,00315,63.0,4
994472,807.0,GO,NISS,00374,73.0,5
6241555,927.0,BK,NISS,00568,73.0,5
2527742,1723.0,GY,JAGU,00118,58.0,3
3093819,1137.0,WT,TOYT,00442,68.0,4
4335614,1230.0,RD,CHEV,00472,63.0,4
425318,1212.0,GN,MITS,00396,63.0,4
604205,1520.0,BK,AUDI,00395,63.0,4
5216771,1021.0,WT,TOYT,350R2,73.0,5
242355,1307.0,RD,NISS,00401,63.0,4
5055365,2048.0,BK,BMW,00402,73.0,5
5947594,1511.0,BL,FORD,00641,63.0,4
695372,1354.0,SL,TOYT,00358,58.0,3
123502,1418.0,BK,MERZ,00471,68.0,4
6582332,2136.0,GN,HOND,00316,25.0,1
1705964,1010.0,BK,TOYT,00185,73.0,5
3095828,1241.0,GY,HOND,00471,73.0,5
3703312,2158.0,RD,FORD,00400,68.0,4
1755091,1831.0,WT,AUDI,00107,68.0,4
6533492,1654.0,GY,BMW,203A,63.0,4
4557120,1124.0,OT,TOYT,378R1,58.0,3
4257650,1634.0,BK,AUDI,00101,25.0,1
5170597,1706.0,BL,PORS,00402,63.0,4
329125,1123.0,WT,BMW,00187,25.0,1
5790826,1448.0,BK,MERZ,00205,25.0,1
3966473,1643.0,WT,TOYT,00600,58.0,3
4848011,1209.0,BL,HOND,00661,63.0,4
4319727,1041.0,GY,KIA,00481,63.0,4
984287,1121.0,GN,LEXS,00444,73.0,5
4581802,839.0,RD,VOLV,00555,25.0,1
1256917,1027.0,BK,HOND,00461,73.0,5
4380442,1327.0,RD,VOLV,00600,93.0,6
3967923,1625.0,GY,LEXS,00477,58.0,3
5146671,1110.0,WT,FORD,00151,58.0,3
1340100,1318.0,WT,FORD,538C,58.0,3
5594219,1141.0,BL,KIA,00642,63.0,4
4638058,1034.0,WT,HOND,00681,63.0,4
4678873,1318.0,BK,TOYT,534H,73.0,5
5095768,1241.0,BK,TOYT,00636,73.0,5
3541370,1527.0,SL,NISS,00674,25.0,1
2153286,1055.0,BK,HYUN,00901,73.0,5
6154076,1214.0,GY,VOLK,00154,73.0,5
4723155,1349.0,WT,FORD,139B,63.0,4
93209,1928.0,BK,MERZ,00601,63.0,4
2600267,2024.0,SL,TOYT,00315,68.0,4
335966,950.0,SL,BMW,645A,73.0,5
6207076,2042.0,BK,TOYT,205,93.0,6
6521375,1243.0,WT,OTHR,00654,93.0,6
3622056,1217.0,GO,CADI,00500,73.0,5
5125727,2319.0,BL,TOYT,202A,58.0,3
3301390,1256.0,BL,TOYT,00118,68.0,4
6616050,1025.0,MR,DODG,00631,25.0,1
4307149,1310.0,WT,BMW,00500,73.0,5
187114,1053.0,WT,HNO,00500,78.0,5
3465505,1040.0,SI,HOND,00451,73.0,5
2751359,52.0,BK,BMW,00402,68.0,4
1941909,1306.0,BK,BMW,00141,63.0,4
4045984,1529.0,WT,CHEV,00676,63.0,4
2647684,1937.0,WT,UNK,00403,63.0,4
2521770,1048.0,WT,DODG,00330,63.0,4
680823,1814.0,GY,HOND,00321,93.0,6
4454634,1047.0,BK,HOND,310W,73.0,5
474868,821.0,SL,VOLK,00152,25.0,1
1667924,835.0,TN,TOYT,340R,73.0,5
2679420,1812.0,GY,TOYT,00401,93.0,6
5631222,1149.0,BK,AUDI,00673,73.0,5
4009469,1855.0,SL,HOND,00403,93.0,6
6527514,1152.0,SL,OTHR,00411,68.0,4
873788,1019.0,SL,TOYT,00642,63.0,4
1432055,425.0,GO,CADI,1Z25,93.0,6
2333366,911.0,WT,TOYT,00635,73.0,5
4237070,1856.0,BL,HOND,00500,93.0,6
6417221,1153.0,SL,TOYT,00408,93.0,6
5228270,1634.0,BK,TOYT,00667,93.0,6
5937336,655.0,BL,INFI,00401,93.0,6
4085655,1239.0,WT,FORD,00107,63.0,4
245000,2210.0,BK,VOLK,00201,73.0,5
2108424,1937.0,MR,TOYT,00403,63.0,4
940664,347.0,WT,DODG,107R,25.0,1
2681502,957.0,WT,TOYT,00361,68.0,4
1170723,1712.0,BK,HOND,00441,93.0,6
4073314,28.0,SL,VOLK,00600,25.0,1
