,Issue_Time,Color,Make,Route,Fine_Amount,Binned
2893501,904.0,GY,TOYT,00667,25.0,1
2596711,636.0,GO,TOYT,00643,58.0,3
3066600,828.0,BK,FORD,00374,73.0,5
3370090,1345.0,WT,CHEV,00476,68.0,4
4967712,1954.0,BK,TOYT,00401,68.0,4
4415762,1609.0,GY,HOND,161R,68.0,4
1992365,2258.0,GY,TOYT,00403,68.0,4
4596166,1234.0,SL,TOYT,360R2,25.0,1
872436,1221.0,WT,FORD,00335,73.0,5
10527,1652.0,RD,NISS,309R,163.0,7
3506195,1151.0,GY,CHEV,00145,68.0,4
5569722,1254.0,BK,CHEV,00531,73.0,5
4494385,750.0,GN,HOND,00111,93.0,6
4872258,2049.0,BK,FORD,403B,58.0,3
64175,1237.0,GY,NISS,00107,63.0,4
5077110,1157.0,RD,KIA,00600,58.0,3
854069,1042.0,SL,VOLV,00331,73.0,5
1402734,1528.0,BK,HOND,00482,93.0,6
3557714,1628.0,SL,TOYT,00204,363.0,8
5056112,1547.0,WT,TOYT,00491,93.0,6
3340282,1014.0,GY,TOYT,158R2,73.0,5
3427260,1208.0,WT,MITS,369B,73.0,5
4030613,1324.0,RD,MAZD,00174,58.0,3
4961951,1759.0,WT,CHEV,00204,93.0,6
3975523,803.0,GY,CHEV,2C202,93.0,6
5345617,1111.0,BK,OTHR,00308,58.0,3
2933500,1956.0,GY,HOND,00309,68.0,4
4843130,1219.0,RD,NISS,00461,63.0,4
2976248,1246.0,GY,TOYT,00161,58.0,3
4605279,1244.0,BL,FORD,00365,73.0,5
4919344,1159.0,BN,OTHR,906R,25.0,1
4871242,1028.0,BK,BMW,00453,63.0,4
3689185,1339.0,SL,BMW,00400,58.0,3
1552287,1454.0,BK,BMW,00681,25.0,1
475707,1129.0,RD,HYUN,00409,63.0,4
1435512,1222.0,GY,NISS,00361,73.0,5
3680310,2208.0,GY,NISS,00309,73.0,5
6175002,311.0,WT,DODG,00401,68.0,4
483456,1238.0,GY,NISS,00144,73.0,5
3251290,1355.0,WT,NISS,00664,63.0,4
1029565,432.0,SL,VOLK,00611,73.0,5
2703044,1754.0,WT,TOYT,00600,63.0,4
5942953,701.0,BL,HYUN,00563,73.0,5
6359917,1211.0,SL,TOYT,00465,73.0,5
4997404,1212.0,GY,TOYT,00448,73.0,5
5588677,1122.0,BK,LEXS,00612,63.0,4
6100298,1524.0,RD,MNNI,00486,63.0,4
2530726,101.0,TN,CHEV,00500,68.0,4
1643706,1112.0,RD,CHEV,00202,63.0,4
645572,850.0,WT,FORD,00541,73.0,5
5031379,823.0,BK,HOND,00375,73.0,5
1529091,1019.0,GY,HOND,00188,73.0,5
468148,834.0,SL,HOND,00365,73.0,5
5160097,1400.0,WT,HYUN,360R1,25.0,1
4057285,2214.0,WT,HYUN,00666,73.0,5
1266581,1408.0,GY,VOLK,00475,63.0,4
1571007,817.0,WT,TOYT,00653,73.0,5
3214728,929.0,WT,NISS,00474,73.0,5
4628489,1011.0,WT,CHRY,478R2,73.0,5
4176102,135.0,SL,HOND,00309,73.0,5
2249135,1019.0,RD,KIA,00400,73.0,5
3013320,1111.0,BK,TOYT,00400,73.0,5
499135,920.0,BK,HOND,00664,63.0,4
692441,808.0,SL,FORD,00135,73.0,5
5949806,903.0,GY,BMW,00141,73.0,5
651490,1353.0,GN,NISS,00111,63.0,4
896586,1620.0,WT,TOYT,00453,63.0,4
24233,818.0,GN,TOYT,538C,73.0,5
114265,1217.0,GY,MAZD,00672,73.0,5
3068632,1446.0,SL,FORD,00473,93.0,6
4295282,1815.0,MR,STRN,00600,68.0,4
3195776,1549.0,BG,CADI,00610,63.0,4
364122,1815.0,RD,CHEV,00307,58.0,3
5306077,848.0,GY,KIA,00544,73.0,5
6676091,1038.0,TN,GMC,00491,93.0,6
2519624,1623.0,GY,TOYT,537C,163.0,7
2081490,1251.0,GY,NISS,00634,63.0,4
2188768,1237.0,WH,PONT,00146,73.0,5
373557,2012.0,GY,LEXS,201B,25.0,1
3185361,1804.0,WT,CHEV,00401,68.0,4
153052,1905.0,RD,HOND,205B,68.0,4
5188614,219.0,MR,TOYT,00500,93.0,6
2151417,1225.0,BN,CADI,00325,68.0,4
3225656,1022.0,BK,JEEP,00154,25.0,1
3794586,826.0,BK,LINC,00374,73.0,5
1991640,1628.0,WT,FORD,00905,93.0,6
5082249,1322.0,RD,VOLK,00600,63.0,4
3411583,121.0,SL,FORD,00600,25.0,1
4239171,1037.0,SL,HOND,00555,25.0,1
6169031,1129.0,WT,AUDI,00474,58.0,3
6444642,1152.0,WT,NISS,00456,63.0,4
2179254,1829.0,SL,LEXS,00309,68.0,4
3049638,1238.0,GY,FORD,00451,73.0,5
494594,1437.0,SL,TOYT,00452,58.0,3
2435586,1240.0,BN,FORD,00301,63.0,4
6626040,1225.0,WT,CHEV,00642,63.0,4
3174808,954.0,OT,HOND,00175,73.0,5
5444605,1028.0,BG,OTHR,00142,63.0,4
436670,805.0,WT,NISS,00453,73.0,5
3703606,1218.0,BK,LEXS,00478,63.0,4
2042902,126.0,GO,TOYT,00500,93.0,6
2810612,1302.0,RD,JEEP,00400,63.0,4
3024684,822.0,BL,LEXS,00442,73.0,5
5494212,1255.0,BK,TOYT,00362,73.0,5
3209431,1322.0,WT,HOND,00441,73.0,5
5261941,2310.0,SL,HOND,00315,73.0,5
535105,1812.0,WT,LEXS,00401,68.0,4
3368225,1515.0,WT,NISS,00168,58.0,3
3978077,630.0,BE,MINI,00403,25.0,1
471363,1226.0,BL,CHEV,00355,73.0,5
1539912,1031.0,BL,HOND,00667,25.0,1
2962997,1931.0,WT,HOND,00400,68.0,4
2533876,1330.0,BL,HOND,00107,73.0,5
2989306,1242.0,BL,TOYT,00632,73.0,5
4222222,1854.0,GY,HOND,00401,68.0,4
3834262,1215.0,BK,HOND,465R1,73.0,5
3167963,804.0,MR,STRN,00500,68.0,4
5176665,1235.0,GY,VOLV,00610,63.0,4
5500834,932.0,RD,NISS,00354,73.0,5
4790424,1617.0,BG,TOYT,907R,73.0,5
3690979,840.0,BL,TOYT,00448,73.0,5
3915330,843.0,SL,MERZ,00476,25.0,1
3479569,1252.0,BK,PORS,00600,68.0,4
5875525,1434.0,BK,NISS,402A,63.0,4
2846616,1703.0,BK,JEEP,00402,68.0,4
6624670,1351.0,BL,BMW,00351,63.0,4
1628543,810.0,SL,DODG,00667,63.0,4
6452915,1058.0,BK,MERZ,00456,25.0,1
3052369,1327.0,BL,HYUN,00651,63.0,4
2375883,1014.0,BK,MNNI,00395,63.0,4
6480662,1632.0,BN,HOND,00400,163.0,7
1240632,1143.0,BK,FORD,00111,63.0,4
1790958,1919.0,SL,TOYT,00474,63.0,4
5379095,811.0,BL,FORD,00445,73.0,5
2224226,1400.0,BK,NISS,1R2,58.0,3
5205893,1037.0,WT,TOYT,00555,73.0,5
3052730,1235.0,GO,HOND,00500,25.0,1
1550425,930.0,GY,TOYT,538C,58.0,3
5442893,1033.0,SL,INFI,00351,73.0,5
5687899,850.0,BK,TOYT,00147,73.0,5
6097893,52.0,SL,TOYT,00611,73.0,5
6273151,1450.0,GO,TSMR,00391,58.0,3
5220769,1133.0,BK,HYUN,00905,63.0,4
3346466,829.0,BK,TOYT,00447,73.0,5
2749991,1048.0,BK,BMW,00377,93.0,6
6342281,2010.0,SL,TOYT,205B,68.0,4
5484601,415.0,GY,HYUN,00600,25.0,1
6376334,1148.0,WT,NISS,360R1,68.0,4
411970,1441.0,WT,KIA,00678,63.0,4
560616,25.0,SL,VOLV,00401,68.0,4
1443947,1911.0,GY,TOYT,00402,68.0,4
1419323,1437.0,GY,NISS,00107,73.0,5
1707892,1816.0,WT,DODG,00310,68.0,4
3077787,710.0,BK,HOND,00503,68.0,4
2229552,1613.0,WH,VOLK,00487,63.0,4
1706834,1222.0,WT,LEXS,00400,73.0,5
2030463,1932.0,WT,TOYT,00603,63.0,4
835463,2311.0,WT,HYUN,00402,93.0,6
6487708,2259.0,GY,FORD,00309,68.0,4
2292020,1102.0,WT,NISS,00475,68.0,4
5947468,812.0,SL,TOYT,00449,73.0,5
6341748,445.0,WT,JEEP,00101,93.0,6
2621810,1327.0,WT,DODG,00901,73.0,5
762099,1234.0,BK,VOLK,6T8,63.0,4
3879471,1153.0,RD,JEEP,00471,25.0,1
3857267,1401.0,WT,LEXS,00462,68.0,4
1681003,1109.0,SL,MERZ,00145,73.0,5
2820076,1223.0,MR,NISS,00447,73.0,5
4328438,547.0,GY,TOYT,00403,25.0,1
4079151,1117.0,SL,ACUR,00633,58.0,3
6439593,200.0,SL,MERZ,00666,68.0,4
96212,1047.0,WT,BMW,00187,68.0,4
1635374,740.0,BL,SUZI,107,73.0,5
1330284,1408.0,BN,GRUM,00656,93.0,6
2862278,1746.0,BL,TOYT,00300,63.0,4
6067429,1949.0,GY,FORD,00204,63.0,4
739615,1454.0,BK,BMW,483,68.0,4
2360682,1638.0,BK,MERZ,350R2,25.0,1
764518,943.0,BK,KIA,00492,68.0,4
5485642,1055.0,GY,JEEP,00158,73.0,5
3141985,607.0,WT,DODG,00567,93.0,6
1508431,1807.0,WT,HOND,00108,58.0,3
2552378,127.0,GY,HYUN,00666,68.0,4
4799795,835.0,GY,VOLV,00154,63.0,4
5701241,1438.0,GY,LEXS,00905,63.0,4
866909,1412.0,WT,MERZ,00368,63.0,4
3102729,2152.0,WT,LINC,00500,25.0,1
